AQI,PM2.5,PM10,SO2,NO2,O3,CO,
190,143,173,11,106,8,1.65,
194,146,178,11,103,8,1.69,
202,152,186,11,101,7,1.7,
209,159,183,11,98,7,1.65,
208,158,184,11,94,7,1.59,
208,158,184,11,94,7,1.59,
210,160,180,11,90,8,1.6,
207,157,178,12,86,11,1.53,
210,160,179,12,85,11,1.5,
209,159,181,13,81,16,1.51,
205,155,182,13,80,18,1.54,
203,153,175,13,83,19,1.56,
201,151,174,14,80,30,1.58,
196,147,169,13,82,32,1.52,
190,143,161,12,84,31,1.48,
187,141,163,12,79,39,1.38,
173,131,165,11,76,41,1.24,
173,131,156,11,81,34,1.29,
170,129,153,10,86,27,1.35,
173,131,156,10,94,19,1.35,
177,134,157,10,87,26,1.36,
170,129,155,11,69,37,1.3,
174,132,155,11,54,42,1.15,
164,125,152,11,49,43,1.07,
161,123,143,10,48,41,1.06,
171,130,141,10,45,42,1.07,
177,134,144,10,46,40,1.1,
183,138,149,11,41,45,1.08,
177,134,150,11,40,47,1.09,
167,127,146,11,39,46,1.09,
163,124,140,11,41,42,1.09,
167,127,139,11,41,43,1.02,
173,131,142,10,46,38,1.02,
193,145,145,10,46,38,1.1,
206,156,159,11,43,43,1.2,
210,160,171,12,44,45,1.24,
206,156,175,12,44,51,1.2,
202,152,173,12,45,56,1.34,
187,141,167,12,42,65,1.27,
177,134,156,12,39,76,1.24,
154,118,146,11,34,88,1.02,
134,102,128,10,37,83,1.01,
134,102,116,10,45,67,1.05,
140,107,116,9,47,53,1.09,
145,111,124,8,49,39,1.16,
150,115,131,8,51,32,1.18,
160,122,135,9,58,27,1.19,
197,148,143,9,50,46,1.24,
236,186,168,10,44,57,1.26,
262,212,199,10,44,56,1.26,
268,218,216,9,42,56,1.29,
268,218,221,8,42,52,1.29,
265,215,227,8,39,52,1.29,
260,210,224,8,41,48,1.31,
258,208,223,8,42,45,1.34,
254,204,222,8,48,36,1.35,
250,200,220,8,59,26,1.44,
247,197,219,9,55,33,1.48,
249,199,220,10,50,44,1.45,
248,198,219,11,50,54,1.56,
244,194,213,12,54,65,1.61,
241,191,211,12,53,82,1.62,
235,185,210,11,47,102,1.44,
216,166,198,10,45,115,1.45,
215,165,192,10,49,111,1.42,
217,167,190,10,55,108,1.42,
213,163,186,9,66,91,1.47,
214,164,187,9,89,59,1.66,
222,172,196,8,97,46,1.73,
224,174,204,8,106,34,1.96,
224,174,209,8,110,22,1.94,
214,164,209,9,100,23,1.8,
194,146,196,10,70,42,1.6,
190,143,177,11,56,54,1.5,
187,141,168,10,54,52,1.4,
177,134,162,10,52,48,1.35,
163,124,150,9,53,43,1.26,
149,114,140,8,56,35,1.26,
149,114,137,9,55,31,1.43,
146,112,138,9,55,34,1.36,
141,108,138,9,54,36,1.29,
134,102,132,9,53,41,1.21,
131,100,127,10,51,49,1.2,
129,98,122,10,42,62,1.09,
110,83,106,10,31,77,0.99,
96,72,93,10,26,84,1,
74,54,77,10,25,92,0.96,
73,53,62,9,27,94,0.96,
66,48,53,10,29,95,1,
61,44,55,10,32,91,0.93,
74,54,56,10,39,81,0.94,
73,53,61,10,48,68,1,
81,60,69,10,57,56,1.07,
91,68,85,9,81,27,1.19,
94,70,89,9,85,18,1.17,
99,74,93,9,84,15,1.12,
99,74,95,10,76,13,1.14,
90,67,90,11,64,19,1.18,
80,59,82,11,57,24,1.14,
74,54,74,10,53,24,1.09,
73,53,67,10,53,22,1.03,
65,47,61,10,53,20,1.01,
69,50,60,10,57,15,1.02,
64,46,62,9,66,7,1.08,
68,49,66,10,66,7,1.16,
69,50,69,10,62,12,1.1,
68,49,71,11,60,16,1.06,
68,49,70,12,55,24,1.01,
73,53,67,12,53,33,1.02,
79,58,70,13,57,34,1.27,
84,62,79,15,69,27,1.52,
88,65,88,14,75,25,1.56,
89,66,88,13,72,31,1.39,
94,70,88,11,68,40,1.17,
110,83,90,10,66,45,1.01,
135,103,106,10,70,39,1.01,
153,117,125,10,74,28,1.09,
173,131,140,10,80,22,1.12,
180,136,150,10,87,17,1.2,
177,134,155,10,88,10,1.23,
181,137,154,9,86,9,1.24,
183,138,154,9,88,7,1.29,
186,140,162,9,86,7,1.3,
194,146,171,9,84,6,1.31,
208,158,175,8,82,7,1.34,
217,167,182,8,80,7,1.37,
225,175,187,8,78,6,1.39,
224,174,195,9,76,7,1.54,
226,176,205,10,75,11,1.57,
234,184,208,11,68,26,1.36,
228,178,206,12,60,50,1.24,
216,166,194,12,48,73,1.17,
200,150,184,14,38,94,1.06,
187,141,175,26,33,107,1,
177,134,159,26,32,112,0.93,
170,129,146,15,35,110,0.91,
163,124,142,10,40,104,0.98,
173,131,144,9,54,86,1.03,
190,143,148,9,80,58,1.2,
208,158,170,9,84,45,1.3,
217,167,188,10,92,36,1.37,
221,171,195,10,93,29,1.36,
218,168,196,9,96,24,1.42,
215,165,191,9,95,19,1.39,
207,157,186,8,93,13,1.3,
196,147,180,9,84,17,1.21,
184,139,170,9,79,18,1.17,
169,128,159,8,71,22,1.09,
166,126,150,8,76,15,1.09,
151,116,144,8,76,11,1.12,
141,108,136,9,80,6,1.26,
145,111,134,10,78,7,1.42,
151,116,138,13,74,13,1.64,
154,118,147,15,74,25,1.76,
151,116,154,14,68,42,1.72,
143,109,151,12,60,58,1.5,
115,87,135,11,48,76,1.24,
91,68,111,10,36,90,1.06,
74,54,86,9,30,99,0.9,
63,45,70,8,29,103,0.82,
61,44,67,8,31,103,0.79,
65,47,67,9,64,66,0.98,
79,58,75,9,96,31,1.22,
86,64,95,9,97,28,1.27,
101,76,107,10,98,23,1.4,
110,83,114,11,99,20,1.46,
110,83,119,11,96,14,1.38,
115,87,120,14,91,14,1.39,
116,88,119,16,83,16,1.37,
114,86,116,17,82,13,1.37,
113,85,111,21,81,11,1.39,
111,84,111,26,77,9,1.36,
111,84,111,23,77,9,1.42,
111,84,108,17,76,7,1.51,
104,78,104,18,68,15,1.69,
103,77,111,20,63,30,1.62,
99,74,113,19,61,42,1.47,
100,75,106,17,59,51,1.39,
89,66,101,15,55,63,1.3,
81,60,98,13,47,79,1.09,
73,53,87,11,42,88,0.92,
66,48,74,11,44,88,0.87,
65,47,69,11,54,78,0.84,
69,50,70,10,90,36,1.08,
83,61,83,10,105,21,1.33,
99,74,105,11,113,15,1.46,
108,81,117,11,119,14,1.79,
113,85,128,10,118,12,1.74,
116,88,134,11,115,8,1.81,
124,94,136,11,112,7,1.62,
125,95,138,11,113,6,1.46,
121,92,134,11,107,6,1.43,
128,97,132,12,102,6,1.42,
123,93,131,11,90,9,1.28,
121,92,125,10,88,10,1.16,
115,87,116,10,84,11,1.16,
111,84,108,11,79,15,1.21,
123,93,108,13,74,21,1.38,
136,104,112,13,60,35,1.32,
169,128,130,14,50,54,1.34,
202,152,153,14,44,73,1.36,
210,160,172,13,41,93,1.32,
210,160,184,13,39,111,1.26,
210,160,187,11,35,130,1.17,
216,166,189,12,34,143,1.16,
217,167,193,12,36,150,1.18,
224,174,197,13,42,143,1.21,
233,183,203,12,52,127,1.28,
242,192,214,11,53,110,1.3,
252,202,228,11,46,100,1.37,
273,223,239,11,44,91,1.46,
292,242,256,10,45,87,1.56,
302,252,275,11,44,84,1.63,
297,247,283,11,45,77,1.67,
281,231,274,12,44,71,1.76,
263,213,261,10,42,71,1.53,
252,202,247,10,43,63,1.52,
243,193,236,9,44,57,1.42,
244,194,229,8,44,53,1.41,
237,187,224,8,46,44,1.41,
226,176,218,7,45,39,1.38,
214,164,209,7,52,25,1.34,
210,160,201,8,49,26,1.36,
194,146,194,8,42,35,1.22,
184,139,183,8,40,42,1.29,
176,133,175,10,40,49,1.42,
180,136,169,11,44,60,1.62,
190,143,170,13,49,70,1.99,
199,149,179,14,51,75,2.06,
205,155,188,14,55,78,2.08,
205,155,192,14,62,74,2.14,
210,160,195,13,71,61,2.1,
213,163,203,11,84,45,1.8,
208,158,207,10,79,41,1.62,
169,128,197,9,54,41,1.14,
121,92,166,8,42,35,1.02,
105,79,129,7,39,29,1.04,
103,77,115,8,41,24,1.14,
113,85,114,11,44,19,1.71,
115,87,125,10,44,17,1.89,
114,86,127,9,45,15,1.49,
111,84,119,8,44,15,1.38,
108,81,119,8,47,12,1.2,
110,83,121,8,48,9,1.18,
113,85,120,7,49,7,1.14,
116,88,123,7,50,8,1.18,
116,88,125,9,46,14,1.36,
124,94,131,11,48,23,1.34,
125,95,135,12,48,39,1.3,
121,92,129,11,44,58,1.2,
116,88,122,11,42,80,1.19,
110,83,115,11,39,91,1.13,
106,80,112,11,40,100,1.13,
104,78,113,10,39,106,1.02,
99,74,109,10,46,103,1.06,
100,75,105,10,73,66,1.18,
113,85,113,9,113,30,1.57,
126,96,132,9,118,22,1.76,
139,106,153,11,112,23,1.79,
144,110,165,11,107,20,1.74,
141,108,164,11,91,27,1.67,
139,106,160,10,81,30,1.56,
139,106,151,11,70,33,1.57,
131,100,145,11,63,33,1.47,
125,95,137,10,59,28,1.41,
118,89,145,9,57,23,1.49,
109,82,144,9,56,20,1.52,
101,76,125,9,49,20,1.49,
89,66,124,8,44,22,1.43,
89,58,127,8,45,19,1.29,
77,52,103,8,41,21,1.26,
67,47,83,8,39,24,1.31,
72,49,94,9,38,26,1.29,
73,50,96,9,37,27,1.17,
70,51,83,9,36,32,1.18,
71,52,79,10,32,36,1.18,
68,49,77,9,35,34,1.16,
66,48,81,9,46,22,1.18,
68,49,81,9,55,12,1.26,
70,51,80,9,60,9,1.4,
75,55,81,9,65,7,1.6,
81,60,90,8,64,5,1.53,
76,56,100,8,61,5,1.49,
74,54,97,8,56,4,1.5,
70,50,89,9,52,4,1.4,
64,42,77,8,48,4,1.37,
59,39,67,9,45,4,1.38,
58,34,65,9,42,4,1.42,
55,35,60,9,39,4,1.3,
51,31,52,8,36,4,1.31,
46,26,46,9,34,4,1.23,
42,26,42,9,31,5,1.02,
39,27,39,8,29,5,0.91,
53,37,38,7,27,5,1.08,
74,54,49,7,26,6,1.26,
96,72,68,8,26,9,1.3,
103,77,83,8,26,13,1.34,
100,75,93,8,30,15,1.45,
98,73,90,8,33,18,1.38,
100,75,92,7,32,21,1.33,
95,71,92,7,31,24,1.22,
96,72,97,7,35,22,1.29,
95,71,82,7,41,13,1.39,
83,61,83,7,43,7,1.38,
73,53,73,7,42,6,1.34,
55,38,59,6,41,6,1.29,
46,28,46,6,39,7,1.24,
36,23,36,6,34,13,1.26,
34,22,34,6,27,29,1.2,
36,25,32,6,21,45,1.14,
34,24,33,6,17,56,1.07,
33,23,32,6,16,58,1.03,
33,23,27,6,18,52,1.18,
31,22,28,6,18,49,1.21,
34,24,27,6,17,46,1.18,
41,29,27,6,17,45,1.19,
43,30,35,6,20,38,1.3,
36,25,35,6,23,26,1.22,
29,17,29,5,23,24,1.08,
23,13,23,6,19,27,0.9,
19,8,19,6,14,36,0.61,
16,6,16,6,11,39,0.49,
14,9,14,5,11,41,0.48,
14,7,14,6,11,41,0.48,
16,8,16,5,10,44,0.46,
18,11,18,5,11,44,0.49,
24,11,24,5,12,43,0.52,
26,14,26,5,12,40,0.61,
28,16,28,5,12,42,0.63,
29,16,29,5,10,47,0.62,
31,17,31,5,10,49,0.57,
29,17,29,5,9,51,0.52,
27,18,27,5,8,50,0.52,
30,21,27,5,8,52,0.52,
30,21,29,5,7,55,0.51,
29,19,29,5,7,60,0.49,
26,14,26,5,6,67,0.47,
22,12,19,5,6,70,0.43,
22,11,16,5,6,71,0.43,
21,10,15,5,6,68,0.42,
20,10,16,5,7,65,0.46,
21,15,18,5,7,66,0.46,
21,11,21,5,8,65,0.44,
21,11,21,6,9,65,0.44,
21,11,18,6,9,66,0.44,
21,8,17,6,10,67,0.44,
21,8,15,6,10,67,0.44,
21,9,17,6,10,68,0.46,
21,10,21,6,12,68,0.44,
21,11,21,6,13,68,0.46,
22,13,22,7,13,68,0.48,
24,13,24,7,14,68,0.49,
28,15,28,7,14,68,0.52,
31,14,31,8,14,69,0.59,
32,16,32,7,15,69,0.57,
33,19,33,8,17,66,0.54,
34,20,34,7,18,63,0.56,
36,21,36,7,18,63,0.54,
35,21,35,7,18,63,0.57,
35,22,35,7,20,60,0.59,
36,23,36,7,23,54,0.57,
37,23,37,6,24,50,0.57,
37,26,37,6,24,51,0.57,
40,28,38,6,27,48,0.61,
44,31,40,6,33,38,0.69,
44,30,44,7,28,43,0.66,
46,30,46,7,21,54,0.67,
47,30,47,8,17,62,0.66,
46,30,46,9,14,71,0.63,
41,29,40,9,14,76,0.6,
40,28,37,8,15,78,0.6,
39,27,39,8,15,80,0.58,
38,26,38,8,16,78,0.56,
39,27,37,8,18,76,0.56,
42,27,42,7,20,73,0.58,
44,29,44,7,22,70,0.6,
46,32,42,7,23,66,0.59,
47,33,47,7,26,59,0.61,
51,36,51,7,29,54,0.63,
53,37,52,7,34,47,0.63,
55,39,53,7,33,47,0.64,
53,37,55,7,31,48,0.63,
52,36,54,7,27,52,0.62,
54,38,51,7,26,50,0.61,
50,34,50,7,26,47,0.62,
50,34,50,7,24,50,0.63,
50,35,50,7,23,48,0.62,
55,39,47,7,28,41,0.62,
56,40,52,7,34,34,0.69,
61,44,56,8,33,35,0.74,
66,48,60,8,27,44,0.73,
66,48,63,8,23,57,0.7,
63,45,60,7,20,71,0.62,
58,41,53,7,20,80,0.59,
55,39,46,7,19,86,0.56,
54,38,46,7,17,92,0.53,
51,35,51,7,17,93,0.57,
53,32,56,7,19,93,0.52,
49,34,49,7,21,89,0.53,
50,34,50,7,24,83,0.53,
53,36,56,7,26,78,0.54,
56,39,61,8,29,71,0.58,
59,42,60,7,32,65,0.59,
66,48,64,7,39,52,0.64,
71,52,68,7,38,47,0.69,
74,54,70,7,36,44,0.71,
74,54,68,7,34,43,0.7,
78,57,68,7,33,40,0.7,
80,59,68,7,35,34,0.74,
81,60,70,7,34,33,0.76,
84,62,71,7,36,28,0.78,
84,62,74,6,42,20,0.83,
84,62,74,7,47,14,0.93,
88,65,75,7,48,16,1.06,
91,68,78,9,42,27,0.98,
93,69,84,10,41,39,1.16,
84,62,91,10,32,62,0.87,
70,51,90,9,24,80,0.68,
69,49,87,9,22,89,0.62,
70,49,90,9,19,96,0.58,
65,44,79,8,20,99,0.52,
59,42,68,8,19,97,0.49,
67,43,84,8,22,92,0.5,
62,43,73,8,42,68,0.64,
70,51,83,8,55,50,0.78,
83,61,94,8,59,41,0.82,
84,62,99,8,67,33,0.93,
98,73,102,8,70,28,0.94,
100,75,106,7,78,17,0.99,
96,72,107,7,72,20,1.03,
96,72,105,7,68,19,0.92,
89,66,98,7,70,16,0.89,
86,64,92,7,63,21,0.87,
81,60,90,7,52,30,0.79,
78,57,86,7,56,25,0.78,
79,58,86,7,59,19,0.86,
79,58,88,7,61,17,0.97,
80,59,90,8,62,18,1.13,
84,62,92,14,55,34,1.04,
85,63,98,16,44,57,0.99,
79,58,102,13,33,77,0.84,
73,50,96,11,25,91,0.65,
68,46,86,10,22,100,0.57,
64,41,77,9,20,104,0.56,
62,40,73,9,18,106,0.54,
60,40,69,8,19,104,0.51,
59,40,68,8,27,94,0.54,
61,44,69,8,52,62,0.74,
73,53,75,8,62,48,0.86,
86,64,92,8,69,37,0.93,
96,72,103,8,73,30,0.99,
91,68,106,7,73,27,1.04,
98,73,108,7,73,23,1.03,
103,77,106,7,75,17,1.06,
101,76,105,7,71,14,1,
98,73,108,7,61,22,0.88,
98,73,107,7,53,31,0.81,
100,75,102,7,46,35,0.78,
98,73,102,7,45,33,0.88,
103,77,102,7,47,32,0.87,
105,79,102,7,41,39,0.9,
103,77,105,9,41,45,1.03,
104,78,105,11,36,56,1.06,
104,78,107,14,32,71,1.38,
86,64,110,10,21,86,0.77,
78,55,106,10,18,93,0.76,
74,52,98,12,18,98,0.88,
73,47,95,11,16,105,0.73,
72,43,94,10,16,106,0.67,
70,41,89,9,16,105,0.56,
67,40,83,8,21,96,0.52,
67,41,84,8,34,77,0.59,
68,46,85,9,28,76,0.61,
78,57,97,10,19,87,0.71,
95,71,123,10,19,88,0.72,
100,75,145,10,23,82,0.78,
106,80,152,11,24,80,0.84,
111,84,155,11,25,75,0.88,
115,87,154,10,24,72,0.87,
120,91,156,10,25,69,0.93,
123,93,157,9,26,62,0.97,
124,94,158,9,28,57,1,
126,96,158,8,31,50,1,
129,98,160,8,31,47,0.92,
129,98,160,8,35,41,0.96,
130,99,158,9,34,46,1.06,
124,94,156,10,30,59,0.97,
105,79,149,10,27,71,0.89,
96,72,133,11,23,81,0.91,
84,62,118,11,22,87,0.91,
83,61,111,11,22,88,0.91,
86,64,108,11,23,86,0.92,
90,67,109,12,25,81,0.98,
96,72,116,12,25,81,1,
101,76,121,11,26,78,1,
106,80,122,11,27,73,1,
119,90,124,9,34,57,1.07,
116,88,143,7,21,68,0.89,
99,74,123,7,18,75,0.8,
90,67,104,8,17,74,0.83,
90,67,94,8,15,76,0.76,
79,58,91,7,16,75,0.71,
79,58,83,7,15,73,0.71,
80,59,78,7,15,72,0.7,
88,65,81,7,15,72,0.72,
96,72,91,8,16,68,0.71,
135,103,106,9,17,59,0.74,
161,123,135,9,18,52,0.69,
169,128,159,9,18,51,0.72,
149,114,163,9,20,49,0.71,
141,108,149,9,19,53,0.77,
144,110,135,10,17,58,0.79,
153,117,133,9,16,60,0.77,
154,118,141,9,17,62,0.76,
150,115,145,8,18,61,0.77,
148,113,144,8,20,57,0.78,
150,115,142,8,23,52,0.82,
154,118,144,8,25,47,0.88,
161,123,149,8,26,43,0.88,
180,136,160,8,28,39,0.88,
190,143,172,8,31,34,0.91,
204,154,184,8,30,34,0.92,
212,162,191,8,26,38,0.9,
208,158,194,8,24,37,0.89,
199,149,189,8,24,35,0.91,
194,146,182,8,24,32,0.89,
193,145,178,7,22,31,0.9,
193,145,175,7,22,29,0.89,
184,139,174,7,19,37,0.86,
160,122,170,7,16,51,0.73,
114,86,147,7,15,67,0.69,
89,66,114,7,15,74,0.72,
98,73,98,7,15,78,0.71,
109,82,102,7,15,76,0.74,
109,82,108,7,13,78,0.71,
106,80,109,7,13,77,0.71,
106,80,107,7,12,78,0.69,
109,82,105,7,12,76,0.72,
121,92,108,7,13,75,0.74,
139,106,118,7,13,75,0.78,
167,127,133,7,15,73,0.94,
248,198,170,7,17,73,1.19,
274,224,225,9,18,83,1.28,
250,200,260,11,18,93,1.21,
216,166,246,12,18,98,1.24,
186,140,218,13,17,96,1.13,
161,123,194,12,15,93,1.02,
145,111,176,10,14,87,0.97,
139,106,168,9,13,77,0.88,
129,98,161,9,12,72,0.83,
123,93,154,8,11,70,0.8,
106,80,147,7,10,70,0.74,
95,71,134,7,9,69,0.71,
89,66,123,7,9,68,0.68,
84,60,117,8,10,64,0.72,
80,58,110,8,10,63,0.72,
75,50,100,8,8,66,0.63,
70,36,89,7,7,72,0.54,
63,23,76,6,6,76,0.46,
54,17,58,6,6,80,0.41,
46,15,46,6,6,83,0.39,
41,13,41,7,6,85,0.38,
42,12,42,7,8,87,0.39,
45,14,45,7,9,87,0.39,
46,14,46,7,10,84,0.38,
46,15,46,7,10,81,0.41,
45,14,45,6,12,76,0.42,
44,16,44,8,12,74,0.54,
45,16,45,8,13,71,0.59,
42,17,42,10,15,67,0.76,
40,17,40,12,17,64,1,
38,17,38,13,16,63,1.07,
37,17,37,11,17,60,0.91,
35,15,35,9,16,58,0.79,
35,19,35,9,15,56,0.72,
39,27,36,8,14,54,0.71,
44,31,38,7,13,56,0.67,
49,34,47,7,11,59,0.67,
51,34,51,7,11,60,0.68,
51,33,52,8,12,62,0.73,
51,33,51,8,10,66,0.68,
47,33,47,7,10,70,0.61,
46,32,43,8,11,73,0.61,
47,33,42,9,11,78,0.61,
49,34,43,8,11,84,0.59,
49,34,41,8,11,89,0.56,
49,34,41,7,12,92,0.56,
49,34,39,7,13,92,0.54,
50,35,41,7,15,89,0.54,
50,35,45,7,18,83,0.59,
56,40,49,7,22,73,0.67,
63,45,56,8,32,59,0.78,
80,59,69,9,33,54,0.94,
85,63,77,9,34,49,1.04,
85,63,77,9,30,50,1.01,
80,59,75,10,27,50,0.98,
80,59,73,10,26,48,0.99,
79,58,72,12,28,44,1.09,
80,59,72,12,28,41,1.06,
78,57,70,14,28,41,1.09,
76,56,68,13,29,40,1.13,
76,56,67,11,31,37,1.19,
74,54,66,12,33,35,1.2,
74,54,65,13,33,36,1.3,
74,54,65,13,36,35,1.5,
74,54,65,14,40,35,1.59,
76,56,69,14,41,34,1.56,
79,58,69,14,42,33,1.49,
83,61,69,15,44,34,1.58,
89,66,72,15,38,44,1.57,
85,63,78,13,30,55,1.2,
85,63,79,12,29,57,1.07,
98,73,82,11,30,54,1.06,
106,80,91,10,30,56,1.01,
103,77,100,11,24,63,0.92,
95,71,106,11,21,73,0.92,
99,74,112,11,22,76,0.92,
108,81,118,10,19,78,0.86,
108,81,118,9,18,77,0.82,
113,85,116,9,17,75,0.83,
118,89,117,8,17,72,0.87,
126,96,121,8,17,68,0.87,
125,95,124,8,16,67,0.87,
128,97,127,8,17,64,0.89,
131,100,127,9,17,60,0.99,
131,100,128,9,17,57,0.96,
128,97,128,9,21,51,0.99,
130,99,129,9,22,51,1.02,
129,98,127,10,23,57,1.04,
119,90,124,10,22,65,1.01,
99,74,120,9,17,79,0.78,
79,58,103,9,14,89,0.69,
75,55,94,9,14,97,0.66,
74,54,93,10,15,101,0.63,
74,54,96,10,17,105,0.61,
74,51,97,10,19,99,0.61,
74,48,97,10,21,90,0.64,
74,49,97,9,23,85,0.67,
75,55,97,10,27,77,0.71,
78,57,100,9,31,68,0.74,
77,49,103,8,29,67,0.68,
75,45,99,9,29,62,0.72,
70,43,90,9,33,55,0.83,
68,42,85,8,39,48,0.87,
66,41,82,8,42,38,0.8,
65,42,80,8,46,35,0.84,
64,40,77,7,51,26,0.9,
64,42,78,7,51,25,0.89,
64,41,77,7,54,20,0.87,
62,43,74,7,55,19,0.94,
66,48,79,8,50,27,0.89,
68,49,84,8,40,45,0.82,
67,46,84,10,29,65,0.78,
64,40,78,11,23,79,0.76,
60,40,70,12,22,87,0.69,
59,40,67,10,20,93,0.64,
58,38,65,10,18,98,0.58,
59,36,68,9,16,103,0.56,
61,36,71,9,17,104,0.54,
60,37,69,9,20,99,0.54,
60,41,69,8,41,74,0.68,
64,46,75,8,62,45,0.94,
85,63,90,8,71,33,0.98,
88,65,105,8,70,34,0.94,
90,67,107,8,74,29,0.99,
88,65,103,8,73,26,0.99,
84,62,101,8,73,25,0.97,
85,63,97,8,69,28,0.93,
79,58,93,8,63,33,0.87,
78,57,90,8,58,36,0.81,
74,54,85,9,55,36,0.84,
76,56,85,8,54,35,0.84,
76,56,86,8,59,26,0.84,
78,57,85,8,66,21,0.98,
84,62,88,9,69,21,1.06,
83,61,94,12,61,35,0.99,
85,63,96,13,43,66,0.88,
85,63,93,14,33,88,0.74,
85,63,92,14,26,104,0.64,
81,60,91,11,20,110,0.59,
73,53,88,10,18,121,0.56,
74,54,89,10,18,127,0.55,
74,54,84,10,20,126,0.57,
84,62,88,9,53,82,0.81,
98,73,98,11,88,43,1.06,
114,86,114,11,101,25,1.2,
129,98,130,11,101,25,1.28,
133,101,140,10,101,24,1.38,
134,102,139,9,103,16,1.52,
129,98,138,9,100,16,1.38,
120,91,119,9,92,19,1.32,
118,89,123,9,86,22,1.36,
110,83,118,9,84,20,1.24,
110,83,113,10,79,21,1.16,
108,81,109,14,71,26,1.24,
114,86,111,15,71,24,1.33,
121,92,115,15,74,19,1.49,
130,99,124,17,69,29,1.6,
133,101,127,18,61,45,1.67,
129,98,127,18,53,59,1.62,
121,92,123,16,43,76,1.49,
109,82,112,14,34,92,1.32,
85,63,102,12,26,108,1.04,
69,50,87,11,21,118,0.8,
65,47,71,10,21,123,0.73,
59,42,62,10,25,119,0.69,
63,45,62,10,38,102,0.81,
74,54,67,11,55,77,0.91,
80,59,76,13,55,70,1.06,
88,65,86,14,56,64,1.09,
93,69,88,14,58,59,1.11,
95,71,91,15,64,51,1.13,
94,70,93,15,63,49,1.17,
93,69,95,15,61,47,1.23,
90,67,90,15,61,41,1.32,
86,64,84,16,61,36,1.3,
84,62,84,15,60,33,1.33,
80,59,84,16,54,37,1.39,
76,56,81,15,54,37,1.51,
74,54,80,16,58,31,1.52,
71,52,78,15,63,28,1.47,
70,51,75,16,55,39,1.44,
68,49,75,18,48,54,1.47,
68,49,70,17,42,65,1.4,
66,48,65,15,39,72,1.21,
63,45,60,13,38,79,1.02,
55,39,57,12,29,97,0.87,
53,35,56,11,23,112,0.7,
48,32,48,10,23,122,0.63,
44,31,42,10,24,124,0.63,
49,34,42,10,53,90,0.79,
66,48,54,11,87,50,1.18,
84,62,76,11,102,33,1.36,
95,71,93,13,106,31,1.48,
103,77,103,11,109,19,1.59,
110,83,108,11,116,11,1.63,
111,84,111,11,112,11,1.66,2023.2.1
120,91,114,12,106,11,1.58,
124,94,115,13,101,10,1.49,
123,93,115,13,95,13,1.41,
128,97,114,13,88,13,1.18,
120,91,114,11,75,16,1.1,
119,90,109,11,71,18,1.1,
123,93,106,11,67,22,1.07,
121,92,107,12,69,20,1.24,
129,98,109,14,66,28,1.31,
130,99,109,13,57,40,1.2,
134,102,115,12,47,64,1.1,
126,96,116,11,39,78,0.96,
124,94,110,12,35,93,0.92,
126,96,110,12,31,108,0.94,
126,96,114,12,28,123,0.89,
153,117,122,12,31,122,1.01,
180,136,145,14,36,115,1.12,
193,145,171,14,38,114,1.14,
190,143,180,14,37,105,1.29,
161,123,184,14,35,93,1.23,
126,96,185,13,33,82,1.1,
114,70,178,11,29,75,0.88,
106,51,162,10,26,69,0.76,
101,43,152,10,25,62,0.73,
100,43,150,10,25,57,0.76,
99,45,147,11,26,53,0.81,
94,47,137,11,27,51,0.81,
90,48,129,10,24,51,0.78,
87,47,123,10,23,50,0.7,
78,42,106,9,22,50,0.67,
73,38,95,8,22,52,0.66,
66,34,82,8,22,54,0.61,
61,30,71,8,22,53,0.6,
58,29,65,8,23,53,0.6,
55,30,59,8,22,54,0.6,
53,30,56,8,23,54,0.59,
53,27,56,8,22,56,0.53,
52,24,54,7,20,57,0.49,
48,22,48,7,21,57,0.47,
46,23,46,7,22,55,0.49,
47,23,47,7,24,52,0.5,
51,24,52,7,25,48,0.52,
51,24,51,7,26,45,0.52,
46,24,46,7,26,43,0.53,
45,23,45,8,27,40,0.58,
45,26,45,8,28,37,0.59,
45,28,45,8,29,34,0.57,
44,31,42,7,28,34,0.6,
50,35,46,8,30,32,0.62,
51,34,51,7,29,31,0.66,
49,34,48,7,29,30,0.62,
47,33,47,7,28,29,0.62,
47,33,47,6,29,28,0.62,
51,36,49,6,32,23,0.63,
50,35,48,7,34,21,0.67,
54,38,50,7,34,23,0.71,
55,39,51,9,34,25,0.82,
59,42,51,10,34,30,0.9,
60,43,54,11,35,38,1.04,
71,52,59,11,40,42,1.02,
71,52,62,11,41,50,1.05,
76,56,60,10,38,60,0.99,
78,57,69,9,37,65,0.86,
78,57,72,9,32,75,0.89,
78,57,72,9,37,67,0.92,
83,61,72,9,43,58,0.92,
88,65,79,9,54,42,0.97,
96,72,86,9,59,34,0.92,
119,90,100,9,70,14,0.86,
118,89,103,8,70,11,0.86,
124,94,107,9,69,13,0.86,
136,104,114,10,58,21,0.81,
148,113,122,10,49,31,0.77,
144,110,128,10,50,28,0.82,
138,105,128,9,50,29,0.83,
133,101,120,11,50,31,0.94,
131,100,115,14,46,40,1.16,
125,95,113,11,45,48,0.93,
114,86,109,10,39,60,0.83,
100,75,98,9,37,67,0.84,
100,75,91,10,41,70,1.14,
104,78,88,13,38,74,1.17,
105,79,89,14,43,73,1.29,
101,76,93,14,49,66,1.17,
105,79,96,12,61,53,1.23,
